80-20
#cache,OPT,LRU,FIFO,RAND,CLOCK
0,0,0,0,0,0
5,26.6800000000000,23.2400000000000,22.5900000000000,22.2500000000000,23.6600000000000
10,50.8100000000000,43.5500000000000,40.3800000000000,40.3700000000000,45.1900000000000
15,64.2000000000000,60.3000000000000,53.6700000000000,53.9300000000000,62.2800000000000
20,75.3000000000000,72.1100000000000,63.5000000000000,63.5300000000000,73.9800000000000
25,81,80,71,72,81
30,83.3200000000000,84.4000000000000,75.8000000000000,76.3900000000000,85.4500000000000
35,85.4900000000000,87.4200000000000,79.7600000000000,79.7300000000000,88.1100000000000
40,86.3600000000000,89.3700000000000,82.8600000000000,83.6600000000000,89.7000000000000
45,87.3000000000000,90.9100000000000,85.5500000000000,85.1200000000000,90.9800000000000
50,88.4300000000000,91.9800000000000,87.6400000000000,88.0900000000000,92.0300000000000
55,89.3100000000000,92.7600000000000,89.1700000000000,88.4900000000000,92.8100000000000
60,90.2500000000000,93.6400000000000,90.6000000000000,90.3500000000000,93.5300000000000
65,91.3600000000000,94.4200000000000,91.9900000000000,92.1300000000000,94.2200000000000
70,92.3200000000000,95.1900000000000,93.4100000000000,93.6200000000000,95.1500000000000
75,93.3600000000000,95.9100000000000,94.5200000000000,94.1400000000000,95.8800000000000
80,94.4100000000000,96.7000000000000,95.2900000000000,95.5600000000000,96.6300000000000
85,95.3600000000000,97.4300000000000,96.6600000000000,96.2800000000000,97.1300000000000
90,96.8900000000000,97.9800000000000,97.4200000000000,97.4200000000000,97.9500000000000
95,97.9100000000000,98.4600000000000,98.1500000000000,98.1500000000000,98.4000000000000
100,99,99,99,99,99
