No Locality
#cache,OPT,LRU,FIFO,RAND
0,0,0,0,0
5,5.2800000000000,4.9000000000000,4.9400000000000,4.9200000000000
10,10.1500000000000,10.0000000000000,9.9800000000000,9.9800000000000
15,15.2800000000000,14.9400000000000,14.9400000000000,15.3000000000000
20,20.3300000000000,20.0600000000000,20.0200000000000,20.4000000000000
25,25.5400000000000,25,25,25
30,30.4600000000000,30.2300000000000,29.7500000000000,30.1200000000000
35,35.3400000000000,34.8700000000000,34.5700000000000,34.8400000000000
40,40.0300000000000,39.9100000000000,38.8000000000000,39.5000000000000
45,45.2600000000000,44.3800000000000,44.4000000000000,44.3200000000000
50,50.2000000000000,49.2700000000000,49.2400000000000,50.2100000000000
55,55.0700000000000,54.2100000000000,54.2400000000000,54.7400000000000
60,59.7000000000000,58.8800000000000,59.1600000000000,58.8800000000000
65,65.0100000000000,63.8700000000000,64.1700000000000,64.7300000000000
70,70.0700000000000,68.9800000000000,68.5200000000000,69.3700000000000
75,74.7800000000000,73.9900000000000,73.8900000000000,74.3100000000000
80,79.3300000000000,78.6400000000000,79.3200000000000,79.4700000000000
85,84.5400000000000,83.6700000000000,84.0100000000000,84.2800000000000
90,89.3800000000000,88.6200000000000,88.9100000000000,89.1200000000000
95,94.2100000000000,94.1100000000000,94.0700000000000,94.1200000000000
100,99,99,99,99
